('970', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 1.0)
('802', 'ecdd619da78831929d53c27c90f15e193a500998', 1.0)
('259', '004f26465ffb8a71c55f108f08edd8798df4f18d', 1.0)
('202', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 1.0)
('202', '03ff9512dddee8c46ebf661fefebdea88217b281', 1.0)
('2', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 1.0)
('535', '11467fca2a078a6868473b61a9608ba45e337795', 0.9993506507036768)
('742', 'ecdd619da78831929d53c27c90f15e193a500998', 0.9992868621967305)
('274', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.998107996317887)
('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.9956939091857228)
('319', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.9944015666062053)
('442', '11467fca2a078a6868473b61a9608ba45e337795', 0.9939513902720983)
('139', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.9917232467780366)
('1019', '10bb800f85ac047071a942a3323fccebed3dac44', 0.991052778472841)
('1001', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.989409048854592)
('1001', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.9864608324924937)
('5', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.9862976130377337)
('1075', 'df8fe4a9eb0f82a3b43f974fcfacc0c92e522f35', 0.9857330564835971)
('1057', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.985425863903734)
('360', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.9838101676141944)
('112', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.9836992110033493)
('360', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.9836518823311254)
('360', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.9831843111618097)
('274', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9819357047798929)
('1057', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.9792120355911242)
('1019', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.9784062787974896)
('360', '82f8a9fc980dd428eb45c8f66789564632723897', 0.9783535296107826)
('1083', '10bb800f85ac047071a942a3323fccebed3dac44', 0.9782118545193832)
('1083', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.9776981799420448)
('1057', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.9762870551280309)
('139', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9756551119260881)
('360', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.9733107503716684)
('360', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.9715988148664074)
('709', '5582a38930814d30b147285a4074fe93c72849a0', 0.9700770077292433)
('145', '5582a38930814d30b147285a4074fe93c72849a0', 0.9597029060419601)
('296', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 0.9554889296986647)
('626', '5582a38930814d30b147285a4074fe93c72849a0', 0.9535075893539838)
('849', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9528594338715801)
